Time,Col0_0M_5,Col0_0M_10,Col0_0M_15,Col0_0M_20,Col0_0M_25,Col0_0M_30,Col0_0F_5,Col0_0F_10,Col0_0F_15,Col0_0F_20,Col0_0F_25,Col0_0F_30,Col0_7M_5,Col0_7M_10,Col0_7M_15,Col0_7M_20,Col0_7M_25,Col0_7M_30,Col0_7F_5,Col0_7F_10,Col0_7F_15,Col0_7F_20,Col0_7F_25,Col0_7F_30,TP,PEP,Pyr,OAA
480,0.028063993,0.019344095,0.01819191,0.018204931,0.020894678,0.024604115,0.001,0.001,0.001,0.001,0.001,0.01,0.03880508,0.0300003,0.020203512,0.016383253,0.01950792,0.014242866,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Time,C24_0M_5,C24_0M_10,C24_0M_15,C24_0M_20,C24_0M_25,C24_0M_30,C24_0F_5,C24_0F_10,C24_0F_15,C24_0F_20,C24_0F_25,C24_0F_30,C24_7M_5,C24_7M_10,C24_7M_15,C24_7M_20,C24_7M_25,C24_7M_30,C24_7F_5,C24_7F_10,C24_7F_15,C24_7F_20,C24_7F_25,C24_7F_30,TP,PEP,Pyr,OAA
60,0.005311475,0.004990782,0.005669198,0.003210073,0.005410871,0.002836577,0.003644238,0.003264506,0.003063591,0.002971409,0.003753333,0.003400993,0.008669023,0.005749361,0.005394498,0.004100593,0.006040827,0.005302849,0.002300698,0.001732804,0.001848325,0.002333007,0.003251071,0.00377424,0.001,0.001,0.001,0.001
120,0.006507859,0.006384953,0.006904741,0.004570023,0.006683457,0.004341217,0.004833378,0.004189917,0.003629669,0.003617582,0.004392397,0.00435504,0.011411337,0.007995806,0.00695975,0.005402092,0.007517518,0.007017629,0.003025494,0.002121347,0.002273668,0.002989071,0.003881915,0.004503823,0.001,0.001,0.001,0.001
180,0.007704242,0.007779123,0.008140284,0.005929973,0.007956043,0.005845856,0.006022519,0.005115329,0.004195747,0.004263756,0.005031461,0.005309087,0.014153652,0.01024225,0.008525001,0.00670359,0.008994208,0.008732408,0.003750289,0.002509889,0.002699012,0.003645134,0.00451276,0.005233407,0.001,0.001,0.001,0.001
240,0.008900626,0.009173293,0.009375826,0.007289923,0.009228629,0.007350496,0.00721166,0.006040741,0.004761824,0.00490993,0.005670525,0.006263134,0.016895966,0.012488695,0.010090253,0.008005089,0.010470899,0.010447188,0.004475085,0.002898432,0.003124355,0.004301197,0.005143605,0.005962991,0.001,0.001,0.001,0.001
300,0.010097009,0.010567463,0.010611369,0.008649873,0.010501215,0.008855135,0.0084008,0.006966152,0.005327902,0.005556103,0.00630959,0.007217181,0.01963828,0.01473514,0.011655504,0.009306587,0.011947589,0.012161967,0.005199881,0.003286974,0.003549699,0.004957261,0.005774449,0.006692574,0.001,0.001,0.001,0.001
360,0.011293393,0.011961633,0.011846912,0.010009823,0.011773801,0.010359775,0.009589941,0.007891564,0.005893979,0.006202277,0.006948654,0.008171228,0.022380595,0.016981584,0.013220756,0.010608086,0.01342428,0.013876747,0.005924676,0.003675517,0.003975042,0.005613324,0.006405294,0.007422158,0.001,0.001,0.001,0.001
420,0.012489776,0.013355804,0.013082455,0.011369773,0.013046387,0.011864415,0.010779081,0.008816976,0.006460057,0.006848451,0.007587718,0.009125275,0.025122909,0.019228029,0.014786007,0.011909585,0.01490097,0.015591526,0.006649472,0.004064059,0.004400386,0.006269387,0.007036139,0.008151742,0.001,0.001,0.001,0.001
480,0.01368616,0.014749974,0.014317998,0.012729723,0.014318973,0.013369054,0.011968222,0.009742387,0.007026134,0.007494624,0.008226782,0.010079322,0.027865224,0.021474474,0.016351259,0.013211083,0.016377661,0.017306306,0.007374268,0.004452602,0.004825729,0.006925451,0.007666983,0.008881325,0.001,0.001,0.001,0.001
